# Chi2 Rg SupportVolume
1.16224e+09 3.68257e+01 3.37500e+06
1.38592e+03 2.97171e+01 3.37500e+06
1.37245e+03 3.39393e+01 3.37500e+06
1.35938e+03 3.77438e+01 3.37500e+06
1.34647e+03 4.05668e+01 3.37500e+06
1.33370e+03 4.27691e+01 3.37500e+06
1.32102e+03 4.44867e+01 3.37500e+06
1.30849e+03 4.58565e+01 3.37500e+06
1.29607e+03 4.70344e+01 3.37500e+06
1.28371e+03 4.80565e+01 3.37500e+06
1.27145e+03 4.89647e+01 3.37500e+06
1.25936e+03 4.97200e+01 3.37500e+06
1.24736e+03 5.03412e+01 3.37500e+06
1.23552e+03 5.08677e+01 3.37500e+06
1.22389e+03 5.13482e+01 3.37500e+06
1.21238e+03 5.18286e+01 3.37500e+06
1.20103e+03 5.22728e+01 3.37500e+06
1.18990e+03 5.26770e+01 3.37500e+06
1.17899e+03 5.30372e+01 3.37500e+06
1.16817e+03 5.33847e+01 3.37500e+06
1.15748e+03 5.37044e+01 3.37500e+06
1.14692e+03 5.40015e+01 3.37500e+06
1.13650e+03 5.42766e+01 3.37500e+06
1.12619e+03 5.45370e+01 3.37500e+06
1.11602e+03 5.47768e+01 3.37500e+06
1.10597e+03 5.49906e+01 3.37500e+06
1.09608e+03 5.51782e+01 3.37500e+06
1.08629e+03 5.53535e+01 3.37500e+06
1.07662e+03 5.55220e+01 3.37500e+06
1.06709e+03 5.56753e+01 3.37500e+06
1.05770e+03 5.58250e+01 3.37500e+06
1.04842e+03 5.59569e+01 3.37500e+06
1.03927e+03 5.60838e+01 3.37500e+06
1.03025e+03 5.62008e+01 3.37500e+06
1.02136e+03 5.63057e+01 3.37500e+06
1.01257e+03 5.64088e+01 3.37500e+06
1.00387e+03 5.65137e+01 3.37500e+06
9.95247e+02 5.66153e+01 3.37500e+06
9.86683e+02 5.67101e+01 3.37500e+06
9.78213e+02 5.67986e+01 3.37500e+06
9.69827e+02 5.68839e+01 3.37500e+06
9.61502e+02 5.69695e+01 3.37500e+06
9.53277e+02 5.70504e+01 3.37500e+06
9.45134e+02 5.71324e+01 3.37500e+06
9.37088e+02 5.72061e+01 3.37500e+06
9.29138e+02 5.72733e+01 3.37500e+06
9.21289e+02 5.73375e+01 3.37500e+06
9.13563e+02 5.74022e+01 3.37500e+06
9.05911e+02 5.74670e+01 3.37500e+06
8.98327e+02 5.75252e+01 3.37500e+06
8.90820e+02 5.75817e+01 3.37500e+06
8.83433e+02 5.76321e+01 3.37500e+06
8.76124e+02 5.76758e+01 3.37500e+06
8.68882e+02 5.77160e+01 3.37500e+06
8.61686e+02 5.77562e+01 3.37500e+06
8.54529e+02 5.77980e+01 3.37500e+06
8.47455e+02 5.78396e+01 3.37500e+06
8.40437e+02 5.78809e+01 3.37500e+06
8.33492e+02 5.79235e+01 3.37500e+06
8.26654e+02 5.79638e+01 3.37500e+06
8.19904e+02 5.80025e+01 3.37500e+06
8.13258e+02 5.80384e+01 3.37500e+06
